brand,processor_brand,processor_name,ram_,ssd,hdd,weight,latest_price
Lenovo,Intel,Core i5,8,0,512,Casual,46990
MICROSOFT,Intel,Core i5,8,128,0,Casual,100190
Smartron,Intel,Core i5,8,128,0,Casual,52990
MICROSOFT,Intel,Core i5,8,128,0,Casual,91999
Smartron,Intel,Core i5,4,128,0,Casual,52990
HP,Intel,Core i5,8,128,0,ThinNlight,76012
Lenovo,Intel,Core i5,8,256,0,Casual,49490
lenovo,Intel,Core i5,8,0,512,Casual,102990
acer,Intel,Core i5,8,256,0,ThinNlight,86867
LG,Intel,Core i5,8,256,0,Casual,76990
LG,Intel,Core i5,8,256,0,ThinNlight,76990
ASUS,Intel,Core i5,8,256,0,ThinNlight,48990
LG,Intel,Core i5,8,256,0,Casual,62990
DELL,Intel,Core i5,8,256,0,ThinNlight,55990
acer,Intel,Core i5,8,256,0,ThinNlight,81998
LG,Intel,Core i5,8,256,0,ThinNlight,76990
HP,Intel,Core i5,8,256,0,Casual,136590
acer,Intel,Core i5,8,256,0,ThinNlight,59490
ASUS,Intel,Core i5,8,256,0,ThinNlight,49800
Lenovo,Intel,Core i5,8,256,0,Casual,61999
HP,Intel,Core i5,8,512,0,ThinNlight,54990
HP,Intel,Core i5,8,512,0,ThinNlight,53990
Lenovo,Intel,Core i5,8,512,0,Casual,52990
HP,Intel,Core i5,16,512,0,ThinNlight,67990
ASUS,Intel,Core i5,8,512,0,Gaming,57990
Lenovo,Intel,Core i5,16,512,0,ThinNlight,62300
realme,Intel,Core i5,8,512,0,Casual,52990
Lenovo,Intel,Core i5,8,512,0,ThinNlight,52990
Lenovo,Intel,Core i5,8,512,0,ThinNlight,51990
Lenovo,Intel,Core i5,16,512,0,ThinNlight,61990
RedmiBook,Intel,Core i5,8,512,0,ThinNlight,48990
ASUS,Intel,Core i5,8,512,0,Casual,63990
Lenovo,Intel,Core i5,8,512,0,Casual,65990
Nokia,Intel,Core i5,8,512,0,ThinNlight,47990
acer,Intel,Core i5,8,512,0,ThinNlight,52990
Lenovo,Intel,Core i5,8,512,0,ThinNlight,49990
ASUS,Intel,Core i5,8,512,0,Gaming,71990
ASUS,Intel,Core i5,8,512,0,Casual,47990
Nokia,Intel,Core i5,8,512,0,ThinNlight,45990
Lenovo,Intel,Core i5,8,512,0,ThinNlight,48490
ASUS,Intel,Core i5,8,512,0,Gaming,72990
MSI,Intel,Core i5,16,512,0,Casual,76990
ASUS,Intel,Core i5,16,512,0,Gaming,89990
MSI,Intel,Core i5,8,512,0,Casual,59990
ASUS,Intel,Core i5,8,512,0,Gaming,65990
DELL,Intel,Core i5,8,512,0,Casual,71990
DELL,Intel,Core i5,8,512,0,Casual,71890
Lenovo,Intel,Core i5,16,512,0,ThinNlight,64990
ASUS,Intel,Core i5,16,512,0,Casual,65990
HP,Intel,Core i5,8,512,0,ThinNlight,55999
ASUS,Intel,Core i5,16,512,0,Casual,73490
HP,Intel,Core i5,16,512,0,ThinNlight,74490
HP,Intel,Core i5,8,512,0,ThinNlight,58340
acer,Intel,Core i5,8,512,0,ThinNlight,55999
DELL,Intel,Core i5,16,512,0,ThinNlight,67990
ASUS,Intel,Core i5,16,512,0,Casual,59990
ASUS,Intel,Core i5,16,512,0,Casual,82990
DELL,Intel,Core i5,8,512,0,Casual,64190
DELL,Intel,Core i5,16,512,0,ThinNlight,70090
realme,Intel,Core i5,8,512,0,Casual,60999
ASUS,Intel,Core i5,8,512,0,ThinNlight,49990
MSI,Intel,Core i5,8,512,0,ThinNlight,55490
HP,Intel,Core i5,8,512,0,Casual,97990
ASUS,Intel,Core i5,8,512,0,Gaming,54990
Lenovo,Intel,Core i5,8,512,0,ThinNlight,59990
Lenovo,Intel,Core i5,8,512,0,ThinNlight,53990
HP,Intel,Core i5,16,512,0,ThinNlight,66999
acer,Intel,Core i5,8,512,0,ThinNlight,60990
ASUS,Intel,Core i5,8,512,0,ThinNlight,47990
HP,Intel,Core i5,8,512,0,ThinNlight,59999
DELL,Intel,Core i5,16,512,0,Casual,79990
ASUS,Intel,Core i5,8,512,0,Gaming,63990
HP,Intel,Core i5,8,512,0,ThinNlight,63990
ASUS,Intel,Core i5,16,512,0,Casual,59990
Lenovo,Intel,Core i5,8,512,0,ThinNlight,55990
ASUS,Intel,Core i5,16,512,0,Casual,59990
HP,Intel,Core i5,8,512,0,ThinNlight,63990
DELL,Intel,Core i5,16,512,0,Casual,69490
DELL,Intel,Core i5,16,512,0,Casual,89390
ASUS,Intel,Core i5,8,512,0,ThinNlight,74990
Lenovo,Intel,Core i5,8,512,0,Casual,64990
Lenovo,Intel,Core i5,8,512,0,Casual,66490
DELL,Intel,Core i5,16,512,0,Casual,89702
Lenovo,Intel,Core i5,16,512,0,Casual,70990
Infinix,Intel,Core i5,8,512,0,ThinNlight,42490
ASUS,Intel,Core i5,16,512,0,Casual,58990
Lenovo,Intel,Core i5,8,512,0,Casual,57500
DELL,Intel,Core i5,8,512,0,Casual,79990
MSI,Intel,Core i5,8,512,0,Casual,56541
ASUS,Intel,Core i5,16,512,0,ThinNlight,59990
Lenovo,Intel,Core i5,16,512,0,Casual,64990
DELL,Intel,Core i5,8,512,0,ThinNlight,61290
Lenovo,Intel,Core i5,8,512,0,ThinNlight,54990
Lenovo,Intel,Core i5,8,512,0,Casual,59990
ASUS,Intel,Core i5,8,512,0,Casual,84990
HP,Intel,Core i5,8,512,0,ThinNlight,72500
Lenovo,Intel,Core i5,8,512,0,Gaming,59990
Lenovo,Intel,Core i5,8,512,0,Casual,87990
HP,Intel,Core i5,8,512,0,ThinNlight,57990
DELL,Intel,Core i5,8,512,0,ThinNlight,69490
Lenovo,Intel,Core i5,8,512,0,Casual,68990
